Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.)
2718.75,0.006186588962,2718.75,0.009489701481,2718.75,0.01379206537,2718.75,5.701484895,2718.75,0.005832215163,2718.75,0.002053499169
2742.1875,0.01743509247,2742.1875,0.01687199532,2742.1875,0.04587532838,2742.1875,1.299178559,2742.1875,0.01967158562,2742.1875,0.01639046732
2765.625,0.01707929415,2765.625,0.003879652302,2765.625,0.01413839021,2765.625,2.645323028,2765.625,0.01316308702,2765.625,0.01042267914
2789.0625,0.01235223263,2789.0625,0.01728419965,2789.0625,0.01881540561,2789.0625,1.59539326,2789.0625,0.0245589505,2789.0625,0.01157808993
2812.5,0.02099541096,2812.5,0.008717122178,2812.5,0.02075907416,2812.5,0.6517301756,2812.5,0.03102701867,2812.5,0.0207094978
2835.9375,0.005202958922,2835.9375,0.01038815536,2835.9375,0.02621134415,2835.9375,1.879473902,2835.9375,0.01448094506,2835.9375,0.01910410224
2859.375,0.01699037618,2859.375,0.006755310885,2859.375,0.03645769114,2859.375,1.319184183,2859.375,0.03745517107,2859.375,0.01908624038
2882.8125,0.009633772067,2882.8125,0.02092646722,2882.8125,0.02241005368,2882.8125,2.948797195,2882.8125,0.01449841903,2882.8125,0.01847756749
2906.25,0.02730437198,2906.25,0.00884406376,2906.25,0.02817123679,2906.25,1.690167211,2906.25,0.04409087882,2906.25,0.01519368931
2929.6875,0.007182271942,2929.6875,0.01152547661,2929.6875,0.02507402109,2929.6875,1.74301631,2929.6875,0.0308362907,2929.6875,0.009521939527
2953.125,0.01085505247,2953.125,0.003041308432,2953.125,0.0237075335,2953.125,3.599523139,2953.125,0.03746366814,2953.125,0.01886332834
2976.5625,0.02108659357,2976.5625,0.0128238068,2976.5625,0.01262605975,2976.5625,4.96933795,2976.5625,0.02894442344,2976.5625,0.01247031709
3000,0.01739097113,3000,0.005387717882,3000,0.03180064245,3000,3.729737759,3000,0.01670296365,3000,0.01081968815
